
Epoch 107, loss 2.8608639089407335, train accuracy: 98.67%
Epoch 108, loss 2.646817956664499, train accuracy: 99.33%
Epoch 109, loss 2.9842475931589467, train accuracy: 98.67%
Epoch 110, loss 2.4578674648469025, train accuracy: 99.33%
Epoch 111, loss 2.5449307031576103, train accuracy: 99.33%
Epoch 112, loss 2.4061268985743354, train accuracy: 99.33%
Epoch 113, loss 2.5368029575720246, train accuracy: 99.56%
Epoch 114, loss 2.549743373775495, train accuracy: 99.33%
Epoch 115, loss 2.508364875770626, train accuracy: 98.89%
Epoch 116, loss 2.203307381896281, train accuracy: 99.56%
Epoch 117, loss 2.3930997014622135, train accuracy: 99.78%
Epoch 118, loss 2.131232595262079, train accuracy: 99.78%
Epoch 119, loss 2.5478745966534517, train accuracy: 99.11%
Epoch 120, loss 2.3324391762127448, train accuracy: 99.33%
Epoch 121, loss 2.4245603677572083, train accuracy: 99.56%
Epoch 122, loss 2.5929346812897642, train accuracy: 99.56%
Epoch 123, loss 2.567789781052083, train accuracy: 99.33%
Epoch 124, loss 2.312567044792385, train accuracy: 99.56%
Epoch 125, loss 2.2287723956812155, train accuracy: 99.33%
Epoch 126, loss 2.1044786063857224, train accuracy: 99.78%
Epoch 127, loss 2.242940338383458, train accuracy: 99.56%
Epoch 128, loss 2.4498371624069013, train accuracy: 99.33%
Epoch 129, loss 1.8594274832178015, train accuracy: 99.78%
Epoch 130, loss 1.9056043077119111, train accuracy: 99.78%
Epoch 131, loss 2.0890255918106004, train accuracy: 99.56%
Epoch 132, loss 2.0141767752750392, train accuracy: 99.78%
Epoch 133, loss 1.6918526911196163, train accuracy: 99.56%
Epoch 134, loss 1.8195256886780529, train accuracy: 99.78%
Epoch 135, loss 1.7744438319029396, train accuracy: 99.78%
Epoch 136, loss 1.72547716506035, train accuracy: 99.56%
Epoch 137, loss 1.8802264128926902, train accuracy: 99.78%
Epoch 138, loss 2.1595851252433, train accuracy: 99.11%
Epoch 139, loss 1.6838168240924207, train accuracy: 99.56%
Epoch 140, loss 1.8500787922549873, train accuracy: 99.56%
Epoch 141, loss 1.7714745614231604, train accuracy: 99.78%
Epoch 142, loss 1.7543492781002086, train accuracy: 99.56%
Epoch 143, loss 1.6961402390456637, train accuracy: 99.56%
Epoch 144, loss 1.691072739336815, train accuracy: 99.56%
Epoch 145, loss 1.5880168259847325, train accuracy: 99.78%
Epoch 146, loss 1.6290431909203618, train accuracy: 99.78%
Epoch 147, loss 1.6106288359071943, train accuracy: 99.78%
Epoch 148, loss 1.6324866326541605, train accuracy: 99.56%
Epoch 149, loss 1.8603226645369384, train accuracy: 99.56%
Epoch 150, loss 1.9162769101622363, train accuracy: 99.11%
Epoch 151, loss 1.7648907700214396, train accuracy: 99.78%
Epoch 152, loss 1.6567817709606962, train accuracy: 99.56%
Epoch 153, loss 1.5522511919754731, train accuracy: 99.56%
Epoch 154, loss 1.3408387112255733, train accuracy: 99.78%
Epoch 155, loss 1.4901807824557987, train accuracy: 99.56%
Epoch 156, loss 1.49092682198105, train accuracy: 99.78%
Epoch 157, loss 1.273857294031233, train accuracy: 99.78%
Epoch 158, loss 1.4524328873704748, train accuracy: 99.56%
Epoch 159, loss 1.5344842912241707, train accuracy: 99.78%
Epoch 160, loss 1.4092664389051677, train accuracy: 99.78%
Epoch 161, loss 1.4174470376797317, train accuracy: 99.78%
Epoch 162, loss 1.3796695332192652, train accuracy: 99.56%
Epoch 163, loss 1.3097371046151434, train accuracy: 99.78%
Epoch 164, loss 1.4832854786855194, train accuracy: 99.56%
Epoch 165, loss 1.5485051901397666, train accuracy: 99.56%
Epoch 166, loss 1.438078028966544, train accuracy: 99.56%
Epoch 167, loss 1.2880707896111674, train accuracy: 99.78%
Epoch 168, loss 1.3932625359785056, train accuracy: 99.78%
Epoch 169, loss 1.3948325779566197, train accuracy: 99.78%
Epoch 170, loss 1.2290847186164202, train accuracy: 99.78%
